id,logFC,AveExpr,t,P.Value,adj.P.Val,B,TargetFullName,Target,EntrezGeneSymbol,Type
EPHB4.3612.6.4,-0.2002339759974986,9.702826566797528,-3.802163414447714,0.2539644695911298,0.351610808926765,-0.2606629374617011,Ephrin type-B receptor 4,EphB4,EPHB4,Protein
TIMP1.2211.9.11,0.1976079109464605,5.782162430027608,3.7813903863284097,0.4494729262418721,0.7083209205209875,-0.3180823277429843,Metalloproteinase inhibitor 1,TIMP-1,TIMP1,Protein
PDE11A.5252.33.3,0.0511329018191499,8.518889512212679,-3.7036741873261576,0.440607579551505,0.6538315869189513,-0.5315996632302316,"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A",PDE11,PDE11A,Protein
GFRA3.2505.49.3,-0.2728567842905649,8.313103585180931,-3.677823659819441,0.0524848180633533,0.3467884280728699,-0.6021550564721174,GDNF family receptor alpha-3,GFRa-3,GFRA3,Protein
CCL22.3508.78.3,0.0926066148663823,7.69585580924532,-3.67778440525165,0.4333936597492664,0.7883713053919386,-0.6022620156734142,C-C motif chemokine 22,MDC,CCL22,Protein
NPPB.7655.11.3,0.3770031203314634,9.421826007193712,3.6191875881222737,0.6391872662301152,7.825912041090004e-05,-0.761303346383265,N-terminal pro-BNP,N-terminal pro-BNP,NPPB,Protein
AHSG.3581.53.3,0.0895921708216105,8.03780038059893,-3.614544418941828,0.152448482058314,0.959392343307916,-0.7738519601277174,Alpha-2-HS-glycoprotein,a2-HS-Glycoprotein,AHSG,Protein
MATN2.3325.2.2,-0.0539302134508185,10.83355260420035,-3.6017846430368285,0.2547244875979031,0.5972884757883568,-0.8082952817757665,Matrilin-2,MATN2,MATN2,Protein
ANGPTL4.3796.79.2,-0.0452469348478148,10.506532269624918,-3.5924058435924726,0.0346614561543087,0.1820293992322133,-0.8335733801622123,Angiopoietin-related protein 4,ANGL4,ANGPTL4,Protein
WFIKKN1.3191.50.2,-0.0569617163790909,7.058182131392631,-3.588378912170951,0.0508589115688856,0.2313239199096991,-0.844416800999972,"WAP, kazal, immunoglobulin, kunitz and NTR domain-containing protein 1",WFKN1,WFIKKN1,Protein
DPP7.3608.12.1,-0.1562872395974595,9.52905633619651,-3.57908286619454,0.1564194165977608,0.9548496056141558,-0.8694251873869838,Dipeptidyl peptidase 2,DPP2,DPP7,Protein
BMP10.3587.53.2,0.181785089053848,8.292003476297316,-3.5740844035424986,0.030208506973038,0.53248913924382,-0.8828586434700147,Bone morphogenetic protein 10,BMP10,BMP10,Protein
FAS.5392.73.2,0.5978017717017216,8.218050783330662,3.5672571589777284,0.7160953355637941,0.8969591891005328,-0.9011916724421328,Tumor necrosis factor receptor superfamily member 6,"Fas, soluble",FAS,Protein
TNFSF15.2968.61.1,-0.0393594279453244,8.561881309655375,3.556956095101985,0.5762001518037927,0.8679137253428331,-0.9288192636513511,Tumor necrosis factor ligand superfamily member 15,TNFSF15,TNFSF15,Protein
HS6ST1.5465.32.3,0.1143283102868092,8.999294111639756,-3.5305595271365315,0.4814058677285652,0.2234594730588984,-0.999429253013191,Heparan-sulfate 6-O-sulfotransferase 1,H6ST1,HS6ST1,Protein
ADAMTS13.3175.51.5,0.0526981411180254,9.684446853840535,-3.519515128981272,0.2085533986812943,0.9133973979323466,-1.0288925847261927,A disintegrin and metalloproteinase with thrombospondin motifs 13,ATS13,ADAMTS13,Protein
GP1BA.4990.87.1,0.0640511300770529,7.500837822950039,-3.510426053634207,0.0874202962269205,0.5098910912193867,-1.0531039224578862,Platelet glycoprotein Ib alpha chain,GP1BA,GP1BA,Protein
RSPO4.8464.31.3,0.0941487789015403,5.646942348686825,3.4894823981870267,0.0066796946859367,0.6420337438321537,-1.108769513919719,R-spondin-4,RSPO4,RSPO4,Protein
MASP1.3605.77.4,0.0441728895171728,10.603019271835452,-3.481281050691416,1.240505264092735e-05,0.5284043708086754,-1.1305202881811258,Mannan-binding lectin serine protease 1,MASP3,MASP1,Protein
PLG.4151.6.2,0.2704236266626377,9.848317286968344,-3.4746968338143547,0.2281180941199212,0.2008384280692075,-1.1479628553258543,Plasminogen,Plasminogen,PLG,Protein
AGRP.2813.11.2,-0.0642901885373754,7.477672014333765,-3.4056793093638933,0.53589913533221,0.6650464496822659,-1.3297438810404785,Agouti-related protein,ART,AGRP,Protein
PRKCD.2869.68.3,0.0431627415082957,10.63548247186148,-3.402583633320581,0.6007294241517518,0.9108788743784836,-1.3378515475623978,Protein kinase C delta type,PKC-D,PRKCD,Protein
ENPP7.4435.66.2,0.1188262321978977,9.840317514511636,3.3306024458247574,0.0002995286178838306,0.1308431020840559,-1.5252341395933104,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,ENPP7,ENPP7,Protein
KLK7.3378.49.2,-0.0683214685976237,8.476805368565122,-3.289768505736448,0.4538443632130845,0.6615144936911698,-1.63054376988688,Kallikrein-7,Kallikrein 7,KLK7,Protein
Human.virus.2623.54.4,0.0510721819054941,8.406055382323482,-3.273670062209838,0.3038780458121017,0.7142118872042895,-1.6718598977744374,Protein E7_HPV16,HPV E7 Type 16,Human-virus,Protein
ABL2.5261.13.3,0.0850569239344653,8.780504201318,-3.2652670671339648,0.0818362513439079,0.7286393970343079,-1.6933801844759042,Abelson tyrosine-protein kinase 2,ABL2,ABL2,Protein
F2.5316.54.3,-0.1620388248955402,15.79746493913166,-3.26220145003985,0.1487279449685791,0.5954097423989667,-1.7012234643801332,Prothrombin,Prothrombin,F2,Protein
WISP1.3057.55.1,0.0852463953503151,9.961743565993192,-3.2503291327910957,0.9483564382337518,0.0145859089125113,-1.731558671698422,WNT1-inducible-signaling pathway protein 1,WISP-1,WISP1,Protein
PRL.2585.2.5,-0.300525196302715,8.11345989628454,-3.235790994906421,0.5539635520113388,0.5362510544323088,-1.768618948983991,Prolactin,PRL,PRL,Protein
RSPO3.13094.75.3,0.1729518361565777,8.402327034380814,3.2011530398091903,0.2887933198774517,0.7078370033360186,-1.8565299075685155,R-spondin-3,RSPO3,RSPO3,Protein
CCL28.2890.59.2,-0.0865513049144227,10.408339278967532,3.199112126708337,0.9032149969697338,0.0018457232691547,-1.861692570359984,C-C motif chemokine 28,CCL28,CCL28,Protein
APOL1.11510.31.3,0.0562034272899182,12.998638239387772,-3.191631697504586,0.2941047076673431,0.5968148891587227,-1.880598501155272,Apolipoprotein L1,Apo L1,APOL1,Protein
LAMA1.LAMB1.LAMC1.2728.62.2,0.1285566427975606,9.322753791124718,3.185656834004495,0.3578921020365085,0.9108788743784836,-1.8956806725005224,Laminin,Laminin,LAMA1 LAMB1  LAMC1,Protein
CGA.FSHB.3032.11.2,-0.0072850833906391,6.496530877116268,3.177251814096565,0.2717259986089831,0.3234645335061599,-1.9168691321187368,Follicle stimulating hormone,FSH,CGA FSHB,Protein
IGFBP3.2571.12.3,-0.0396079680455089,7.53505752573466,-3.152430178986964,0.6346958175869947,0.7986161639224187,-1.9792498598217296,Insulin-like growth factor-binding protein 3,IGFBP-3,IGFBP3,Protein
MATK.3823.9.1,-0.0649046233195802,7.024372470354967,-3.15142278971742,0.6871682954868797,0.7883713053919386,-1.9817754716458715,Megakaryocyte-associated tyrosine-protein kinase,MATK,MATK,Protein
EFNB3.2514.65.3,0.0666753981089167,8.459680035621673,-3.14518381680139,0.2391934311988066,0.4002623768290431,-1.997406430059976,Ephrin-B3,Ephrin-B3,EFNB3,Protein
MMP13.4925.54.2,-0.0968265672840609,7.616096934010951,-3.139730708126499,0.1543688626027151,0.885979784244267,-2.011053405458501,Collagenase 3,MMP-13,MMP13,Protein
CD48.3292.75.1,-0.0106710512564343,7.021258445423116,-3.1373438202377733,0.7669948617805624,0.507581719914493,-2.017022400606228,CD48 antigen,CD48,CD48,Protein
DCTPP1.4314.12.2,0.0281748623452995,11.092679394670531,3.135305349194661,0.7522543403612421,0.739120469850096,-2.0221179499173374,dCTP pyrophosphatase 1,XTP3A,DCTPP1,Protein
CSF1.3738.54.1,-0.0588867325101416,9.794811665644662,-3.1339738223777003,0.5444254524213735,0.4750468102054097,-2.0254452888225325,Macrophage colony-stimulating factor 1,CSF-1,CSF1,Protein
LTA.LTB.3506.49.1,0.1055076077716557,8.846702708013305,-3.104575621107963,0.1279222826842092,0.9500653706960728,-2.098692071378636,Lymphotoxin alpha2:beta1,Lymphotoxin a2/b1,LTA LTB,Protein
CRK.4976.57.1,0.0752836980822149,10.252358254128234,3.0877745010222006,0.4445929926663753,0.3411723041740535,-2.1403656656035004,Adapter molecule crk,CRK,CRK,Protein
CHIT1.3600.2.3,0.0796030330164785,8.257171958891991,3.087381686363184,0.9702129824030344,0.3412152951317733,-2.1413383656626177,Chitotriosidase-1,Chitotriosidase-1,CHIT1,Protein
GFRA2.2515.14.3,-0.2934122088681373,10.117880712459945,-3.0871648969234493,0.6928202734925881,0.926453005255705,-2.141875154346118,GDNF family receptor alpha-2,GFRa-2,GFRA2,Protein
SERPINC1.3344.60.4,-0.0184466558263125,15.117706734528884,-3.086511180619824,0.2696213996476216,0.6381517372465259,-2.143493671729246,Antithrombin-III,Antithrombin III,SERPINC1,Protein
PGF.3078.1.2,-0.0562841361953442,6.257931001986144,3.0668057291046877,0.5521100985739708,0.739120469850096,-2.1921838368260085,Placenta growth factor,PlGF,PGF,Protein
GSTP1.4911.49.2,0.098959436303238,10.3981028095926,3.0545031506693423,0.0515440418338902,0.3075057837767814,-2.2224855790978277,Glutathione S-transferase P,Glutathione S-transferase Pi,GSTP1,Protein
BCAN.3461.58.1,0.0501044662874129,8.905359481525243,-3.053644922261588,0.0739212287666506,0.0760919571432519,-2.22459664276928,Brevican core protein,PGCB,BCAN,Protein
CDH5.2819.23.2,-0.0496897968521752,10.749497369213517,-3.0433632792309435,0.2307049221276494,0.408608168762498,-2.249858983677946,Cadherin-5,Cadherin-5,CDH5,Protein
ASGR1.5452.71.3,-0.0547890645128108,9.350060525270328,3.0312196214990155,0.009658140223872,0.1799849739394674,-2.279628670646133,Asialoglycoprotein receptor 1,ASGR1,ASGR1,Protein
STC1.4930.21.1,0.1666478157255951,8.368367427008671,3.025415057135268,0.7516595057585276,0.7925700172546453,-2.2938323191276044,Stanniocalcin-1,Stanniocalcin-1,STC1,Protein
C4A.C4B.4481.34.2,0.042617784545959,15.59720704055901,3.0113191729463944,0.8523151208776736,0.2688038221004694,-2.328254285945955,Complement C4,C4,C4A C4B,Protein
EPHA2.4834.61.2,0.0011813733527756,9.205697632385483,3.0094828410013093,0.886366643572342,0.9517028676553224,-2.332731221125055,Ephrin type-A receptor 2,Epithelial cell kinase,EPHA2,Protein
REG4.11102.22.3,0.1533923442892078,7.543714537750917,3.007427889372823,0.0001103972468049016,0.8079008868145163,-2.3377391279445305,Regenerating islet-derived protein 4,REG4,REG4,Protein
F10.3077.66.2,0.0396416220236911,10.521809083396006,-2.9857328472286597,0.985188123082172,0.351610808926765,-2.390479290029071,Coagulation factor Xa,Coagulation Factor Xa,F10,Protein
ECM1.3366.51.2,-0.0325672027236428,12.440832268709416,-2.983892297225711,0.2748857738744024,0.0629831349967196,-2.394942608062442,Extracellular matrix protein 1,ECM1,ECM1,Protein
PRKCZ.2645.54.1,0.0767170948046966,7.856443677662014,-2.976493232374965,0.6968809205445227,0.5412427336925808,-2.412867807636396,Protein kinase C zeta type,PKC-Z,PRKCZ,Protein
DPT.4979.34.2,-0.2859073184878961,8.788863348366581,2.9735495789362028,0.5370955236538464,0.218131882529488,-2.419991397893534,Dermatopontin,DERM,DPT,Protein
TEK.3773.15.4,0.0229540869548459,8.909728876013286,-2.9672225085930557,0.0030489047912879,0.5390988357747469,-2.435287744509961,"Angiopoietin-1 receptor, soluble",sTie-2,TEK,Protein
SERPINA4.3449.58.2,0.1032099736731362,13.364307174025686,-2.966402544832498,0.8929042508868157,0.6965241303532355,-2.437268585374891,Kallistatin,Kallistatin,SERPINA4,Protein
MICA.2730.58.2,0.1914220853539794,6.229865086690787,-2.961119004269635,0.5679705879976962,0.9231144368086892,-2.4500240806548743,MHC class I polypeptide-related sequence A,MICA,MICA,Protein
MB.3042.7.2,0.0724177332281806,8.500080882217382,2.955182659933737,0.7427620998045562,0.831673986495361,-2.4643383888687147,Myoglobin,Myoglobin,MB,Protein
NTRK1.3477.63.2,-0.2810314499014145,10.327695903946433,-2.9541020081127947,0.8107481610589246,0.9234469794617394,-2.4669422050107426,High affinity nerve growth factor receptor,TrkA,NTRK1,Protein
SERPINA7.2706.69.2,-0.0591035200490751,13.494837354617715,-2.9329055257111585,0.9820534897156784,0.8578281080992507,-2.517892294427269,Thyroxine-binding globulin,Thyroxine-Binding Globulin,SERPINA7,Protein
CLEC11A.2966.65.2,0.0550824650212277,7.955798657460225,-2.9267872134136312,0.8441950591741696,0.2800478927553169,-2.5325553551238564,Stem Cell Growth Factor-beta,SCGF-beta,CLEC11A,Protein
DKK4.3365.7.2,0.2683919738298406,9.816375602899145,2.915550849334454,0.8797449449856418,0.9488720253751018,-2.559433152217043,Dickkopf-related protein 4,Dkk-4,DKK4,Protein
TFF2.9191.8.3,-0.0639878734650926,11.518762013330706,2.9042430976642284,0.0192846207626232,0.2426551599295935,-2.586414608617128,Trefoil factor 2,Trefoil factor 2,TFF2,Protein
CCL27.2192.63.10,-0.0336567051765523,6.708976931082227,2.893785564324446,0.6623355578653767,0.5808013782441629,-2.6113071532715693,C-C motif chemokine 27,CTACK,CCL27,Protein
HMGB1.2524.56.3,0.1885143954286246,9.77783836418919,-2.893194206476536,0.4528745053207869,0.0070198775990213,-2.6127130555275397,High mobility group protein B1,HMG-1,HMGB1,Protein
ITGAV.ITGB5.4917.62.1,0.2276184569366313,8.376974415965396,2.876535112187621,0.372938799783496,0.6660115374585877,-2.6522420464991927,Integrin alpha-V: beta-5 complex,Integrin aVb5,ITGAV ITGB5,Protein
MMP17.2838.53.1,-0.725173476479954,8.878252072216647,-2.869752472196899,0.4599775592316291,0.0578926784575843,-2.668293502792704,Matrix metalloproteinase-17,MMP-17,MMP17,Protein
NTN1.6649.51.3,-0.1774650905884209,6.3034201277869535,2.86219663448486,0.8684326791681543,0.3915922701848712,-2.6861456735265223,Netrin-1,NET1,NTN1,Protein
CST6.3303.23.2,-0.213551925172696,10.202224924599872,-2.8589030214624893,0.0039791497200777,0.1195746547067684,-2.693917868510018,Cystatin-M,Cystatin M,CST6,Protein
EGFR.2677.1.1,-0.0972102368516685,12.762805349483958,-2.8585641897659007,0.2138785039044491,0.8543777484545393,-2.694717104108626,Epidermal growth factor receptor,ERBB1,EGFR,Protein
FGF10.2441.2.4,-0.2123567084781983,6.484841709577022,-2.841083514340026,0.0027749055121424,0.8661318152914927,-2.73586622852757,Fibroblast growth factor 10,FGF-10,FGF10,Protein
ISLR2.13124.20.3,-0.0110169624363977,10.165652002046228,-2.81669770593049,0.0805739711324278,0.6420337438321537,-2.7929920406326545,Immunoglobulin superfamily containing leucine-rich repeat protein 2,ISLR2,ISLR2,Protein
CCL16.4913.78.1,-0.0198098487974775,11.976299810092922,2.812108558586789,0.2530062141819327,0.6161811223568996,-2.8037060785554004,C-C motif chemokine 16,HCC-4,CCL16,Protein
CRP.4337.49.2,-0.110730847181303,11.557608235420377,2.800541485152394,0.0057554406401504,0.218131882529488,-2.8306596196475926,C-reactive protein,CRP,CRP,Protein
PECAM1.2695.25.1,-0.3469033475016597,7.86759916930739,-2.797352760976396,0.0196874289518737,0.0506014769010789,-2.838076970794793,Platelet endothelial cell adhesion molecule,PECAM-1,PECAM1,Protein
ADAMTS1.3174.2.1,0.25620569444492,6.147147055541115,-2.779540213020666,0.6044679522139239,0.507581719914493,-2.879407249681291,A disintegrin and metalloproteinase with thrombospondin motifs 1,ATS1,ADAMTS1,Protein
CD226.5062.60.3,0.3432725407809026,8.400736838345978,-2.7777319869914217,0.4536829417151593,0.4889621251793594,-2.883592980466467,CD226 antigen,CD226,CD226,Protein
SFRP1.3221.54.1,-0.047975160494231,10.039611569514262,2.772589637658072,0.0403245630265972,0.9825746346108885,-2.8954866445624665,Secreted frizzled-related protein 1,SARP-2,SFRP1,Protein
CTSV.3364.76.2,-0.2601599789821333,9.01668890487993,-2.7684437257039023,0.0077752556986,0.5864497428371941,-2.905064887905572,Cathepsin L2,Cathepsin V,CTSV,Protein
IL22RA1.3620.67.1,0.0554655366780238,8.247530076929937,-2.7680790592551188,0.1137501509602959,0.9482725486477624,-2.905906910902795,Interleukin-22 receptor subunit alpha-1,IL22RA1,IL22RA1,Protein
TNFRSF10B.5534.49.2,0.2061672990604484,7.154728272471409,-2.748000286583013,0.0537614560618621,0.8814657856086678,-2.9521538393169955,Tumor necrosis factor receptor superfamily member 10B,TRAIL R2,TNFRSF10B,Protein
TPT1.3872.2.1,0.0550188354719423,8.750169766850851,2.7394655563510177,0.4421122179289682,0.885979784244267,-2.9717427318331984,Translationally-controlled tumor protein,TCTP,TPT1,Protein
PRSS27.3624.3.4,0.5301374393573857,10.714498816116594,-2.7369538135635523,0.0856365791812996,0.5362510544323088,-2.977499812136384,Serine protease 27,Marapsin,PRSS27,Protein
PLA2G2A.2692.74.2,-0.0953605809678696,9.516470453982825,2.7283808694967417,0.1998342443813744,0.7557708948189885,-2.997122553463624,"Phospholipase A2, membrane associated",NPS-PLA2,PLA2G2A,Protein
WIF1.2848.2.2,-0.1374179539000658,8.884158393337295,-2.7252458715225774,0.2423551777377826,0.0937198162915724,-3.004287843931402,Wnt inhibitory factor 1,WIF-1,WIF1,Protein
TGFB1.2333.72.1,0.0933121461474,8.357261011776137,-2.7239854133333616,0.4962666928842824,0.8048170828658924,-3.0071671419485457,Transforming growth factor beta-1,TGF-b1,TGFB1,Protein
CD86.5337.64.3,0.1467869822231386,8.20452592655126,-2.716105232455565,0.5920779148277031,0.9548496056141558,-3.0251474620447736,T-lymphocyte activation antigen CD86,B7-2,CD86,Protein
LRIG3.3322.52.2,0.094824065788578,10.229026841711804,-2.6898660231324856,0.8692625719364001,0.5174518845022588,-3.084760740544438,Leucine-rich repeats and immunoglobulin-like domains protein 3,LRIG3,LRIG3,Protein
CYP3A4.2943.5.2,0.2568901629518643,11.650183097420076,-2.6881310926824424,0.0366918248820114,0.0592346340103318,-3.088688351477113,Cytochrome P450 3A4,Cytochrome P450 3A4,CYP3A4,Protein
ANGPTL3.3281.19.1,-0.173501279045299,6.70590685817277,-2.6685254032902983,0.5776124075505091,0.885979784244267,-3.1329510496733235,Angiopoietin-related protein 3,ANGL3,ANGPTL3,Protein
CHEK2.3360.50.4,-0.0503200381582443,6.14759895388501,-2.6674691039659364,0.6949015086040466,0.6626837828924608,-3.135329441520501,Serine/threonine-protein kinase Chk2,Chk2,CHEK2,Protein
CCL7.4886.3.1,-0.1885437088444221,7.383677386180144,2.6664994965408155,0.8500532804863681,0.072671468238742,-3.1375120617009653,C-C motif chemokine 7,MCP-3,CCL7,Protein
IL17RC.5468.67.3,0.0891372764029478,8.111786563408439,2.6480543099322333,0.9974985511013617,0.7368591860369217,-3.178927916291985,Interleukin-17 receptor C,IL-17 RC,IL17RC,Protein
KNG1.4495.33.2,0.0121826674480511,12.861585254072422,-2.647768367402956,0.7773181537618223,0.6957535023279249,-3.179568383539088,Kininogen-1,"Kininogen, HMW",KNG1,Protein
TFF3.4721.54.2,-0.2040123503398981,10.20513513118202,2.641910568991612,0.1468696779133622,0.6650464496822659,-3.1926783454939947,Trefoil factor 3,TFF3,TFF3,Protein
MAPT.5854.60.3,0.6346118340133303,5.290398781389364,2.638464894802132,0.7186650090516573,0.2931226320559603,-3.200380429268267,Microtubule-associated protein tau,tau,MAPT,Protein
OPCML.3634.5.4,0.0903250632686799,9.522137441117309,-2.6270610100364804,0.009157537963041,0.028821181745545,-3.2258213279852948,Opioid-binding protein/cell adhesion molecule,OBCAM,OPCML,Protein
GRN.4992.49.1,-0.1470379880998844,11.91306311385118,-2.6122969970957737,0.4144058326516143,0.0726939270031065,-3.258643583069036,Granulins,GRN,GRN,Protein
AMICA1.5094.62.3,0.9863825138488708,6.61947953408581,2.589426379228209,0.7027200874272019,0.7925700172546453,-3.3092305538978195,Junctional adhesion molecule-like,JAML1,AMICA1,Protein
DSC2.13126.52.3,-0.0239905343130437,8.608892615396671,2.5893822989891517,0.2630308265909786,0.9404294498932612,-3.309327750506111,Desmocollin-2,DSC2,DSC2,Protein
FCER2.3291.30.2,-0.0640651396365298,9.616202539596443,-2.583718112699969,0.2225611057517898,0.8949284913853498,-3.321807492020057,Low affinity immunoglobulin epsilon Fc receptor,CD23,FCER2,Protein
CD84.3642.4.1,-0.0605418693449445,10.367422415089274,-2.5798258340676674,0.2444739328629205,0.5287364816126908,-3.330372010867951,SLAM family member 5,SLAF5,CD84,Protein
NBL1.2944.66.2,-0.0068860100659362,8.189460615306071,2.577005561414931,0.406058706697245,0.6528584102581613,-3.336571977847921,Neuroblastoma suppressor of tumorigenicity 1,DAN,NBL1,Protein
PPP3R1.3657.74.3,0.1513413098382512,10.337906231256031,-2.570267020792941,0.3354246292545997,0.224116614894913,-3.351366188557625,Calcineurin subunit B type 1,Calcineurin B a,PPP3R1,Protein
STK17B.5249.31.3,0.2358025087618349,9.455366824201953,-2.56643828515631,0.6468705729438113,0.2234594730588984,-3.359759757187807,Serine/threonine-protein kinase 17B,DRAK2,STK17B,Protein
CCL18.3044.3.2,-0.0607289469715715,10.825215259373648,2.5427352426340977,0.0342832826293481,0.5491700593725759,-3.411524026246855,C-C motif chemokine 18,PARC,CCL18,Protein
SST.5957.30.3,-0.1841566995560719,7.860744792955596,2.535332922415197,0.3526523122013217,0.3412152951317733,-3.4276192219911468,Somatostatin-28,Somatostatin-28,SST,Protein
FSTL3.3438.10.2,0.0096817680991267,9.803410403491354,2.5120798825329755,0.3069068379318334,0.2894044127077894,-3.477959640339415,Follistatin-related protein 3,FSTL3,FSTL3,Protein
